name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
Western Cosmetics & Supplements: A Health & Beauty Store,ChIJuQNAz3ERLxgRAZUSWVHUWO8,"Junction Of Kenyatta Avenue, and, Kimathi St, Nairobi, Kenya",,-1.2838994,36.8227744,http://westerncosmetics.com/,https://maps.google.com/?cid=17246768218867143937,5,(293),strength-training,strength-training,fallback_original,rejected,0.25,establishment; food; health; point_of_interest; store,
Egware Museum,ChIJ4yoRtYQXLxgR8vrJbDQ1NHA,"Sarit Centre, Nairobi, Kenya",,-1.2614084,36.8021835,https://egwaremuseum.com/,https://maps.google.com/?cid=8085145730316630770,5,(12),strength-training,strength-training,fallback_original,rejected,0.25,establishment; museum; point_of_interest,
Skinsol_ Aesthetics_clinic,ChIJpwB6wHoXLxgRxW7td6Vtbkk,"Brickcourt House, Nairobi, Kenya",,-1.2646186,36.804937,http://www.skinsolaesthetics.com/,https://maps.google.com/?cid=5291287169655992005,4.2,(200),strength-training,strength-training,fallback_original,rejected,0.25,beauty_salon; establishment; hair_care; health; point_of_interest; spa,[object Object]
Matbronze Art Gallery & Foundry,ChIJUeXToAUFLxgR-QClbc-Zv14,"Kifaru Ln, Nairobi, Kenya",,-1.3657346,36.7476703,http://www.matbronze.com/,https://maps.google.com/?cid=6827344676293771513,4.5,(320),strength-training,strength-training,fallback_original,rejected,0,art_gallery; cafe; establishment; food; point_of_interest; tourist_attraction,
Bristles Arts and Crafts Supplies,ChIJ46VypOARLxgRlXVn-iC4a04,"Ronald Ngala St, Nairobi, Kenya",,-1.2850087,36.8289255,https://bristlesartsandcrafts.co.ke/,https://maps.google.com/?cid=5650812609245967765,4.4,(55),strength-training,strength-training,fallback_original,rejected,0.25,establishment; point_of_interest; store,[object Object]
Kitengela Glass - Studio,ChIJjQ0GhyMPLxgRJRDFP3e9drQ,"5 Glass Lane, Tuala. Follow signs, not Google directions off Magadi Rd from Bomas of Kenya off Masai Lodge Rd 1st left after mosque, JR58+3V2, Glass Lane, Nairobi, Kenya",,-1.3922976,36.8171159,http://www.kitengela.glass/,https://maps.google.com/?cid=13003789293947523109,4.6,(1387),strength-training,strength-training,fallback_original,rejected,0,cafe; establishment; food; furniture_store; home_goods_store; point_of_interest; store; tourist_attraction,
Body By Arziki Kenya,ChIJX03m4OMRLxgRZTP6tdom0ro,"Maralal Oasis, in Hurlingham, Argwings Kodhek Rd, Nairobi, Kenya",Hurlingham,-1.2941539,36.7951469,https://arzikiaesthetics.com/our-services/,https://maps.google.com/?cid=13461864956961633125,4.4,(7),strength-training,strength-training,fallback_original,rejected,0.25,establishment; health; point_of_interest; spa,[object Object]
Kitengela Glass - Village Market,ChIJL-qBIcIXLxgRJV8zeAjJTCg,"Limuru Rd, Nairobi, Kenya",,-1.2292094,36.80506800000001,http://www.kitengela.glass/,https://maps.google.com/?cid=2903916897960681253,4.6,(100),strength-training,strength-training,fallback_original,rejected,0,establishment; furniture_store; home_goods_store; point_of_interest; store,
Kitengela Glass - Junction Mall,ChIJ2TXBV2oaLxgRHagv0VAc4eU,"The Junction, Dagoretti Corner, Ngong Rd, Nairobi, Kenya",Ngong,-1.2981795,36.7625248,http://www.kitengela.glass/,https://maps.google.com/?cid=16564552037877917725,4.3,(97),strength-training,strength-training,fallback_original,rejected,0,establishment; furniture_store; home_goods_store; point_of_interest; store,
Adena Wellness Centre,ChIJp01bAusZLxgRvkfW8h2Kfsk,"The Mall, 2nd Floor Ring Rd Parklands, Nairobi, Kenya",Parklands,-1.264457,36.802669,http://adenawellness.co.ke/,https://maps.google.com/?cid=14519194109921871806,4.3,(6),strength-training,strength-training,fallback_original,rejected,0.25,establishment; point_of_interest; spa,
Siro Strength Gym Ground Zero,ChIJyeyDHfoTLxgRiYXitQxgQLc,"Nairobi -Embakasi , Kwa Ndege, Near Boom Supermarket, Nairobi, Kenya",Embakasi,-1.3035781,36.900333,https://wa.link/3hchjn,https://maps.google.com/?cid=13204659715157689737,,,strength-training,strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Samah Fitness Supplies,ChIJBc_sj7ERLxgREmlg_dx59o8,"Moi Ave, Nairobi, Kenya",,-1.2856577,36.8253574,https://samahfitness.co.ke/,https://maps.google.com/?cid=10373612781745236242,4.8,(12),stretching,stretching,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Orthodynamic Limited,ChIJfWcbmykRLxgR24l0C8nb0Gc,"PR8G+FV3, Gaborone Rd, Nairobi, Kenya",,-1.2841501,36.8271224,https://www.orthodyna.com/,https://maps.google.com/?cid=7480720637589490139,4.7,(108),stretching,stretching,fallback_original,rejected,0.25,establishment; health; physiotherapist; point_of_interest; store,[object Object]
Thai-Chi by Sarova,ChIJczkXNlcZLxgRKM-lOIYP0Dc,"102 Manyani E Rd, Nairobi, Kenya",,-1.2598879,36.7751901,https://www.sarovahotels.com/restaurant-bar/thai-chi-by-sarova.html,https://maps.google.com/?cid=4021731536392277800,4.5,(418),mind-body,mind-body,fallback_original,rejected,0.25,establishment; food; point_of_interest; restaurant,[object Object]
Thai Chi Restaurant,ChIJnfDwxNYQLxgRUCOsvTqkkxk,"Kimathi St, Nairobi City, Kenya",,-1.2842256,36.82292109999999,https://www.sarovahotels.com/stanley-nairobi//culinary-experiences/thai-chi.html,https://maps.google.com/?cid=1842997244721898320,4.4,(295),mind-body,mind-body,fallback_original,rejected,0.25,establishment; food; point_of_interest; restaurant,[object Object]
Playland Amusement Park,ChIJUVoSL8kRLxgRCNdmOS_p_l4,"Nextgen mall, Mombasa Road, Nairobi, Kenya",,-1.3237716,36.84403710000001,http://www.playland.co.ke/,https://maps.google.com/?cid=6845164872685508360,4.3,(458),trampoline,trampoline,website_extracted,rejected,0.25,amusement_park; establishment; point_of_interest,
Trampolines Suppliers Kenya,ChIJg2WtKy4RLxgRkMpu5FRDTrY,"House 3rd floor, T5 on, Kenya Complex, Koinange St, Nairobi, Kenya",,-1.281442,36.8172778,https://www.trampolinesuppliers.co.ke/,https://maps.google.com/?cid=13136511194975095440,5,(9),trampoline,trampoline,website_extracted,rejected,0.25,establishment; point_of_interest,
Memorable kids parties,ChIJuwxx6k4ZLxgRSejyzNTcmXw,"Waiyaki Wy, Nairobi, Kenya",,-1.2693247,36.7415806,http://www.memorablekidsparties.co.ke/,https://maps.google.com/?cid=8978450138669443145,4.9,(658),trampoline,trampoline,fallback_original,rejected,0.25,establishment; point_of_interest,
Gigafit Sport & Fitness Equipment,ChIJvfFmPOIRLxgRk2tmk3SaUok,"Nyakatch Lane, Off Moi Avenue Gatakaini House 1, Shop 1, Ground Floor, Nairobi, Kenya",,-1.2811448,36.8220761,https://smartplyconnect.com/biller_products/gigafit,https://maps.google.com/?cid=9895141156766247827,5,(37),strength-training,strength-training,website_extracted,rejected,0.25,establishment; point_of_interest,
Fit Madadi Gym,ChIJ_6vTPB4bLxgRHamsAAS4LbU,"Kawangware Primary Road Kabiro Dagoreti North, Nairobi, Kenya",Kawangware,-1.290287,36.7495676,https://youtu.be/aYP78ddvPiE,https://maps.google.com/?cid=13055293222147631389,4.6,(43),strength-training,strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Lennix Gym Ruaka,ChIJlZrMjXcjLxgRAf0PcAirpbw,"Ruaka, Kenya",,-1.2021203,36.7585461,https://lennixgym.co.ke/,https://maps.google.com/?cid=13593459103015894273,4.7,(165),strength-training,strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Ignite Fitness Studio and Gym,ChIJp-Yf8iXoloURZH4jYxXFh4A,"Nuru Shopping center opposite jkuat main gate, Juja, Kenya",,-1.1019967,37.0135057,https://ignitefitnessstudioandgym.co.ke/,https://maps.google.com/?cid=9261587854358969956,4.7,(19),strength-training,strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Nairobi Meditation,ChIJNd3a9JYQLxgRcia28EHNc8Y,"B304, Century Garden, Kindaruma Rd, Nairobi, Kenya",,-1.297478,36.7971817,http://meditationnairobi.org/,https://maps.google.com/?cid=14299998924926494322,4.4,(5),yoga,yoga,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
Enso Kenya,ChIJl9iLOwAZLxgRWNRGwtBXcBY,"2 Kitisuru Rd, Nairobi, Kenya",,-1.2370687,36.7626682,https://ensokenya.com/,https://maps.google.com/?cid=1616888820350243928,5,(1),yoga,yoga,website_extracted,rejected,0.25,establishment; health; point_of_interest,
