business name,owner/manager,contact email,city,website,business type (modality),estimated_opening_date
Studio Else,,,Paris,https://www.studioelse.fr/,"dance, hiit-bootcamp, martial-arts, pilates, yoga, strength-training, stretching",2024-05-08
Studio MC,,,Paris,http://www.studio-mc.fr/,"hiit-bootcamp, strength-training",2025-03-18
Studio Nodè,,,Paris,https://studionode.fr/,"hiit-bootcamp, dance, reformer-pilates, pilates, yoga, strength-training, stretching",2024-11-05
Studio On,,,Paris,https://studioon.fr/,"pilates, reformer-pilates",2025-05-08
Sunshine Studio,,,Paris,https://www.sunshinestudiopilates.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10701012969334888909,"pilates, prenatal-postnatal, yoga",2025-03-04
Swedish Fit,,,Paris,https://www.swedishfit.fr/loc/dt/?id=784,"hiit-bootcamp, strength-training",2024-01-15
TECFIT,,,Paris,https://www.tecfit-boulognebillancourt.fr/,electrical-muscle-stimulation,2025-01-29
TFF ACADEMY,,,Paris,https://www.tffacademy.fr/,"hiit-bootcamp, boxing, martial-arts, strength-training",2024-10-15
the Gravity Studio,,,Paris,https://www.thegravitystudioparis.com/,"pilates, reformer-pilates, yoga",2024-06-15
The Method Paris - Studio Opéra,,,Paris,https://themethodfrance.fr/,"dance, low-impact-training, pilates, strength-training",2025-08-22
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-maubeuge,"pilates, reformer-pilates",2024-03-04
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-vavin,"pilates, reformer-pilates",2024-07-23
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-marais-ive,"pilates, reformer-pilates",2024-05-29
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-miromesnil,"pilates, reformer-pilates",2024-07-23
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-vaugirard-xve,"pilates, reformer-pilates",2024-06-22
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-madeleine,"pilates, reformer-pilates",2025-04-22
The New Me,,,Paris,https://thenewmeparis.com/pages/studio-reformer-levallois?srsltid=AfmBOorAmeRdUGz-UYjrIZc363gAxsEZ9sgOWlnwzqbzHtOkoxnZO48L,"pilates, reformer-pilates",2025-07-23
Vybes Reformer,,,Paris,http://www.vybes-reformer.com/,"pilates, reformer-pilates",2025-06-07
We Stretch,,,Paris,https://westretch.fr/,stretching,2025-02-04
Workout with Dan,,,Paris,https://workoutwithdan.fr/,boxing,2024-03-04
Yog&Matcha,,,Paris,http://yogmatcha.fr/paris,"yoga, prenatal-postnatal",2025-07-17
Yoga with Anastasia,,,Paris,https://yoganepita.com/,yoga,2024-09-24
Yogacita Flow,,,Paris,https://yoganepita.com/,yoga,2024-09-24
Yonow,,,Paris,https://www.yonow-yoga.fr/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11727681102612781197,yoga,2025-07-25
YUJ YOGA Studio,,,Paris,https://www.yujparis.com/,"pilates, yoga",2024-01-01
YUJ YOGA STUDIO,,,Paris,https://yujparis.com/,"pilates, yoga",2025-06-01
